# Without drogue (Up to date)
# 598 data points written for 3 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#   Forward end of airframe is open (radius is > 0):  "Übergang"
#
# Time (s),Total acceleration (m/s²),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
8.134,16.366,947.554
8.184,16.201,947.208
8.234,16.052,946.866
8.284,15.891,946.529
8.334,15.771,946.196
8.384,15.661,945.867
8.434,15.436,945.543
8.484,15.213,945.223
8.534,15.086,944.907
8.584,15.007,944.596
8.634,14.896,944.288
8.684,14.813,943.985
8.734,14.667,943.686
8.784,14.457,943.391
8.834,14.299,943.099
8.884,14.198,942.812
8.934,14.09,942.529
8.984,13.971,942.25
9.034,13.924,941.974
9.084,13.867,941.703
9.134,13.777,941.435
9.184,13.707,941.171
9.234,13.591,940.911
9.284,13.425,940.655
9.334,13.226,940.402
9.384,13.075,940.153
9.434,12.926,939.908
9.484,12.829,939.666
9.534,12.791,939.428
9.584,12.824,939.193
9.634,12.819,938.962
9.684,12.793,938.735
9.734,12.709,938.511
9.784,12.592,938.29
9.834,12.448,938.073
9.884,12.28,937.86
9.934,12.174,937.65
9.984,12.023,937.443
10.034,11.986,937.24
10.084,11.907,937.04
10.134,11.851,936.843
10.184,11.8,936.65
10.234,11.802,936.46
10.284,11.833,936.273
10.334,11.823,936.089
10.384,11.741,935.909
10.434,11.638,935.732
10.484,11.529,935.558
10.534,11.433,935.388
10.584,11.367,935.22
10.634,11.29,935.056
10.684,11.216,934.895
10.734,11.151,934.737
10.784,11.11,934.582
10.834,11.081,934.431
10.884,11.062,934.282
10.934,11.041,934.136
10.984,10.961,933.994
11.034,10.899,933.854
11.084,10.862,933.718
11.134,10.828,933.585
11.184,10.827,933.454
11.234,10.82,933.327
11.284,10.774,933.202
11.334,10.712,933.081
11.384,10.644,932.963
11.434,10.528,932.847
11.484,10.464,932.735
11.534,10.434,932.625
11.584,10.416,932.519
11.634,10.413,932.415
11.684,10.383,932.314
11.734,10.343,932.216
11.784,10.31,932.121
11.834,10.27,932.029
11.884,10.276,931.939
11.934,10.249,931.853
11.984,10.199,931.769
12.034,10.14,931.689
12.084,10.098,931.611
12.134,10.054,931.535
12.184,10.018,931.463
12.234,9.975,931.394
12.284,9.983,931.327
12.334,9.975,931.263
12.384,9.915,931.202
12.434,9.869,931.143
12.484,9.818,931.087
12.534,9.769,931.034
12.584,9.706,930.984
12.634,9.687,930.937
12.684,9.688,930.892
12.734,9.684,930.85
12.784,9.668,930.81
12.834,9.638,930.774
12.884,9.611,930.74
12.934,9.597,930.708
12.984,9.588,930.679
13.034,9.558,930.653
13.084,9.532,930.63
13.134,9.51,930.609
13.184,9.486,930.591
13.234,9.448,930.576
13.284,9.44,930.563
13.334,9.428,930.553
13.384,9.407,930.546
13.434,9.388,930.541
13.484,9.368,930.538
# Event APOGEE occurred at t=13.534 seconds
13.534,9.357,930.539
13.584,9.349,930.542
13.634,9.338,930.547
13.684,9.328,930.556
13.734,9.321,930.566
13.784,9.311,930.58
13.834,9.308,930.596
13.884,9.303,930.614
13.934,9.308,930.636
13.984,9.312,930.659
14.034,9.32,930.686
14.084,9.312,930.715
14.134,9.329,930.746
14.184,9.364,930.78
14.234,9.402,930.817
14.284,9.456,930.857
14.334,9.485,930.899
14.384,9.49,930.944
14.434,9.449,930.991
14.484,9.402,931.041
14.534,9.405,931.094
14.584,9.403,931.149
14.634,9.419,931.207
14.684,9.405,931.267
14.734,9.411,931.33
14.784,9.447,931.396
14.834,9.482,931.464
14.884,9.463,931.535
14.934,9.473,931.609
14.984,9.455,931.685
15.034,9.416,931.764
15.084,9.405,931.846
15.134,9.394,931.93
15.184,9.366,932.017
15.234,9.357,932.106
15.284,9.35,932.199
15.334,9.3,932.293
15.384,9.243,932.39
15.434,9.185,932.49
15.484,9.125,932.593
15.534,9.09,932.698
15.584,9.027,932.805
